ID: 1, Nombre: Ana, Salario Total: $1700.5
ID: 2, Nombre: Carlos, Salario Total: $1200.0
ID: 4, Nombre: Diana, Salario Total: $2500.5
ID: 5, Nombre: Elena, Salario Total: $1800.0
ID: 6, Nombre: Felipe, Salario Total: $950.0
ID: 7, Nombre: Gloria, Salario Total: $2500.0
ID: 8, Nombre: Hector, Salario Total: $1750.0
ID: 9, Nombre: Ines, Salario Total: $1450.0
ID: 11, Nombre: Karen, Salario Total: $2100.0
ID: 12, Nombre: Luis, Salario Total: $2050.5
ID: 13, Nombre: Maria, Salario Total: $2900.0
ID: 14, Nombre: Nicolas, Salario Total: $1100.0
ID: 15, Nombre: Olga, Salario Total: $1650.0
ID: 17, Nombre: Quim, Salario Total: $1650.0
ID: 18, Nombre: Rosa, Salario Total: $2650.0
ID: 19, Nombre: Sergio, Salario Total: $1350.0
ID: 20, Nombre: Teresa, Salario Total: $1950.0
ID: 21, Nombre: Ulises, Salario Total: $2050.0
ID: 23, Nombre: Walter, Salario Total: $2900.0
ID: 24, Nombre: Ximena, Salario Total: $1700.0
ID: 25, Nombre: Yago, Salario Total: $1400.0
ID: 26, Nombre: Zoe, Salario Total: $1900.0
ID: 27, Nombre: Alvaro, Salario Total: $1200.0
ID: 29, Nombre: Camilo, Salario Total: $1900.0
ID: 30, Nombre: Daniela, Salario Total: $2450.0
ID: 31, Nombre: Esteban, Salario Total: $1600.0
ID: 32, Nombre: Fernanda, Salario Total: $3200.0
ID: 33, Nombre: Gabriel, Salario Total: $1500.0
ID: 35, Nombre: Ignacio, Salario Total: $2000.0
ID: 36, Nombre: Julia, Salario Total: $2400.0
ID: 37, Nombre: Kevin, Salario Total: $1200.0
ID: 38, Nombre: Laura, Salario Total: $1600.0
ID: 39, Nombre: Martin, Salario Total: $2050.0
ID: 41, Nombre: Oscar, Salario Total: $2250.0
ID: 42, Nombre: Paula, Salario Total: $2900.0
ID: 43, Nombre: Quique, Salario Total: $1400.0
ID: 44, Nombre: Raquel, Salario Total: $1700.0
ID: 46, Nombre: Tatiana, Salario Total: $2350.0
ID: 47, Nombre: Uriel, Salario Total: $1600.0
ID: 48, Nombre: Valeria, Salario Total: $1800.0
ID: 49, Nombre: William, Salario Total: $2750.0
ID: 50, Nombre: Xavier, Salario Total: $1850.0
ID: 52, Nombre: Zacarias, Salario Total: $2300.0
ID: 53, Nombre: Andrea, Salario Total: $1300.0
ID: 54, Nombre: Bruno, Salario Total: $1500.0
ID: 55, Nombre: Carolina, Salario Total: $2500.0
ID: 57, Nombre: Elvira, Salario Total: $2100.0
ID: 58, Nombre: Fabian, Salario Total: $1750.0
ID: 59, Nombre: Gabriela, Salario Total: $1750.0
ID: 61, Nombre: Isabel, Salario Total: $2350.0
ID: 62, Nombre: Javier, Salario Total: $2150.0
ID: 63, Nombre: Karla, Salario Total: $1650.0
ID: 64, Nombre: Leandro, Salario Total: $2250.0
ID: 66, Nombre: Nestor, Salario Total: $2750.0
ID: 67, Nombre: Olivia, Salario Total: $1850.0
ID: 68, Nombre: Patricio, Salario Total: $1550.0
ID: 69, Nombre: Quintina, Salario Total: $2900.0
ID: 71, Nombre: Silvia, Salario Total: $2050.0
ID: 72, Nombre: Tomas, Salario Total: $1950.0
ID: 73, Nombre: Ursula, Salario Total: $2400.0
ID: 74, Nombre: Vicente, Salario Total: $1400.0
ID: 76, Nombre: Ximeno, Salario Total: $1750.0
ID: 77, Nombre: Yara, Salario Total: $2650.0
ID: 78, Nombre: Zinedine, Salario Total: $3200.0
ID: 79, Nombre: Armando, Salario Total: $1700.0
ID: 81, Nombre: Cristian, Salario Total: $1800.0
ID: 82, Nombre: Diana, Salario Total: $2350.0
ID: 83, Nombre: Eduardo, Salario Total: $1400.0
ID: 84, Nombre: Florencia, Salario Total: $2150.0
ID: 86, Nombre: Hilda, Salario Total: $2450.0
ID: 87, Nombre: Ivan, Salario Total: $2350.0
ID: 88, Nombre: Julieta, Salario Total: $1950.0
ID: 89, Nombre: Kilian, Salario Total: $1300.0
ID: 91, Nombre: Mateo, Salario Total: $1800.0
ID: 92, Nombre: Nuria, Salario Total: $2200.0
ID: 93, Nombre: Octavio, Salario Total: $1750.0
ID: 94, Nombre: Patricia, Salario Total: $2950.0
ID: 96, Nombre: Rodrigo, Salario Total: $1900.0
ID: 97, Nombre: Sofia, Salario Total: $2550.0
ID: 98, Nombre: Teodoro, Salario Total: $1600.0
ID: 100, Nombre: Veronica, Salario Total: $3100.0
